Pedestrian ID: 3_1_220, Critical Frame: 1560, int_bin: 1
Pedestrian ID: 3_1_251, Critical Frame: 9155, int_bin: 1
Pedestrian ID: 3_1_252, Critical Frame: 9154, int_bin: 1
Pedestrian ID: 3_1_255, Critical Frame: 9175, int_bin: 1
Pedestrian ID: 3_1_260, Critical Frame: 9175, int_bin: 1
Pedestrian ID: 3_1_261, Critical Frame: 9179, int_bin: 1
Pedestrian ID: 3_1_262, Critical Frame: 9184, int_bin: 1
Pedestrian ID: 3_1_263, Critical Frame: 9184, int_bin: 1
Pedestrian ID: 3_1_264, Critical Frame: 9173, int_bin: 1
Pedestrian ID: 3_1_266, Critical Frame: 16925, int_bin: 0
Pedestrian ID: 3_1_267, Critical Frame: 17023, int_bin: 1
Pedestrian ID: 3_1_268, Critical Frame: 17082, int_bin: 1
Pedestrian ID: 3_1_269, Critical Frame: 16842, int_bin: 1
Pedestrian ID: 3_2_270, Critical Frame: 816, int_bin: 1
Pedestrian ID: 3_2_271, Critical Frame: 815, int_bin: 1
Pedestrian ID: 3_2_272, Critical Frame: 796, int_bin: 1
Pedestrian ID: 3_2_273, Critical Frame: 901, int_bin: 1
Pedestrian ID: 3_2_274, Critical Frame: 3601, int_bin: 1
Pedestrian ID: 3_2_275, Critical Frame: 3845, int_bin: 1
Pedestrian ID: 3_2_276, Critical Frame: 3850, int_bin: 1
Pedestrian ID: 3_2_277, Critical Frame: 3850, int_bin: 1
Pedestrian ID: 3_2_278, Critical Frame: 4072, int_bin: 0
Pedestrian ID: 3_2_279, Critical Frame: 4514, int_bin: 1
Pedestrian ID: 3_2_280, Critical Frame: 4529, int_bin: 1
Pedestrian ID: 3_2_281, Critical Frame: 4522, int_bin: 1
Pedestrian ID: 3_2_282, Critical Frame: 4521, int_bin: 1
Pedestrian ID: 3_2_284, Critical Frame: 4523, int_bin: 1
Pedestrian ID: 3_2_285, Critical Frame: 4525, int_bin: 1
Pedestrian ID: 3_2_286, Critical Frame: 4881, int_bin: 1
Pedestrian ID: 3_2_287, Critical Frame: 4884, int_bin: 1
Pedestrian ID: 3_2_288, Critical Frame: 4937, int_bin: 1
Pedestrian ID: 3_2_289, Critical Frame: 5625, int_bin: 1
Pedestrian ID: 3_2_290, Critical Frame: 5561, int_bin: 1
Pedestrian ID: 3_2_291, Critical Frame: 8538, int_bin: 0
Pedestrian ID: 3_2_292, Critical Frame: 8619, int_bin: 0
Pedestrian ID: 3_2_293, Critical Frame: 10012, int_bin: 1
Pedestrian ID: 3_2_294, Critical Frame: 10009, int_bin: 1
Pedestrian ID: 3_2_295, Critical Frame: 10010, int_bin: 1
Pedestrian ID: 3_2_296, Critical Frame: 10009, int_bin: 1
Pedestrian ID: 3_2_298, Critical Frame: 10162, int_bin: 1
Pedestrian ID: 3_2_299, Critical Frame: 10500, int_bin: 0
Pedestrian ID: 3_2_300, Critical Frame: 10505, int_bin: 0
Pedestrian ID: 3_2_301, Critical Frame: 11652, int_bin: 1
Pedestrian ID: 3_2_302, Critical Frame: 11824, int_bin: 1
Pedestrian ID: 3_2_303, Critical Frame: 11913, int_bin: 1
Pedestrian ID: 3_2_304, Critical Frame: 12613, int_bin: 1
Pedestrian ID: 3_2_305, Critical Frame: 12693, int_bin: 1
Pedestrian ID: 3_2_306, Critical Frame: 13502, int_bin: 1
Pedestrian ID: 3_3_307, Critical Frame: 2376, int_bin: 1
Pedestrian ID: 3_3_308, Critical Frame: 1504, int_bin: 1
Pedestrian ID: 3_3_309, Critical Frame: 1490, int_bin: 1
Pedestrian ID: 3_3_313, Critical Frame: 8128, int_bin: 0
Pedestrian ID: 3_3_314, Critical Frame: 8132, int_bin: 0
Pedestrian ID: 3_3_315, Critical Frame: 10362, int_bin: 1
Pedestrian ID: 3_3_316, Critical Frame: 10345, int_bin: 0
Pedestrian ID: 3_3_317, Critical Frame: 11902, int_bin: 1
Pedestrian ID: 3_3_325, Critical Frame: 15811, int_bin: 1
Pedestrian ID: 3_3_326, Critical Frame: 17557, int_bin: 1
Pedestrian ID: 3_3_327, Critical Frame: 17581, int_bin: 1
Pedestrian ID: 3_3_328, Critical Frame: 17629, int_bin: 1
Pedestrian ID: 3_3_329, Critical Frame: 17629, int_bin: 1
Pedestrian ID: 3_3_330, Critical Frame: 17701, int_bin: 1
Pedestrian ID: 3_3_331, Critical Frame: 18018, int_bin: 1
Pedestrian ID: 3_3_332, Critical Frame: 18017, int_bin: 1
Pedestrian ID: 3_3_333, Critical Frame: 18997, int_bin: 1
Pedestrian ID: 3_3_334, Critical Frame: 18975, int_bin: 1
Pedestrian ID: 3_3_335, Critical Frame: 19591, int_bin: 1
Pedestrian ID: 3_3_336, Critical Frame: 20093, int_bin: 1
Pedestrian ID: 3_3_337, Critical Frame: 20084, int_bin: 1
Pedestrian ID: 3_3_338, Critical Frame: 20066, int_bin: 1
Pedestrian ID: 3_3_339, Critical Frame: 20095, int_bin: 1
Pedestrian ID: 3_3_340, Critical Frame: 20137, int_bin: 1
Pedestrian ID: 3_3_341, Critical Frame: 20262, int_bin: 1
Pedestrian ID: 3_3_342, Critical Frame: 20106, int_bin: 1
Pedestrian ID: 3_3_343, Critical Frame: 20114, int_bin: 1
Pedestrian ID: 3_4_344, Critical Frame: 1599, int_bin: 1
Pedestrian ID: 3_4_345, Critical Frame: 1655, int_bin: 1
Pedestrian ID: 3_4_346, Critical Frame: 2482, int_bin: 1
Pedestrian ID: 3_4_348, Critical Frame: 8237, int_bin: 1
Pedestrian ID: 3_4_349, Critical Frame: 8304, int_bin: 1
Pedestrian ID: 3_4_350, Critical Frame: 9439, int_bin: 1
Pedestrian ID: 3_4_351, Critical Frame: 9563, int_bin: 1
Pedestrian ID: 3_4_352, Critical Frame: 9563, int_bin: 1
Pedestrian ID: 3_4_353, Critical Frame: 9563, int_bin: 1
Pedestrian ID: 3_4_354, Critical Frame: 9575, int_bin: 1
Pedestrian ID: 3_4_355, Critical Frame: 9807, int_bin: 1
Pedestrian ID: 3_4_356, Critical Frame: 8372, int_bin: 1
Pedestrian ID: 3_4_357, Critical Frame: 10192, int_bin: 1
Pedestrian ID: 3_4_358, Critical Frame: 11336, int_bin: 1
Pedestrian ID: 3_4_360, Critical Frame: 11751, int_bin: 0
Pedestrian ID: 3_4_361, Critical Frame: 12027, int_bin: 1
Pedestrian ID: 3_4_362, Critical Frame: 12234, int_bin: 0
Pedestrian ID: 3_4_363, Critical Frame: 12231, int_bin: 0
Pedestrian ID: 3_4_364, Critical Frame: 13065, int_bin: 0
Pedestrian ID: 3_4_366, Critical Frame: 13630, int_bin: 0
Pedestrian ID: 3_4_370, Critical Frame: 14094, int_bin: 0
Pedestrian ID: 3_4_371, Critical Frame: 14025, int_bin: 0
Pedestrian ID: 3_4_372, Critical Frame: 14705, int_bin: 0
Pedestrian ID: 3_4_374, Critical Frame: 15475, int_bin: 1
Pedestrian ID: 3_4_375, Critical Frame: 15609, int_bin: 1
Pedestrian ID: 3_4_376, Critical Frame: 15604, int_bin: 1
Pedestrian ID: 3_4_377, Critical Frame: 15587, int_bin: 1
Pedestrian ID: 3_4_378, Critical Frame: 15477, int_bin: 1
Pedestrian ID: 3_4_379, Critical Frame: 15597, int_bin: 1
Pedestrian ID: 3_4_380, Critical Frame: 15594, int_bin: 1
Pedestrian ID: 3_4_381, Critical Frame: 15720, int_bin: 1
Pedestrian ID: 3_4_382, Critical Frame: 15603, int_bin: 1
Pedestrian ID: 3_4_383, Critical Frame: 15632, int_bin: 1
Pedestrian ID: 3_5_384, Critical Frame: 1621, int_bin: 1
Pedestrian ID: 3_5_385, Critical Frame: 2493, int_bin: 1
Pedestrian ID: 3_5_386, Critical Frame: 2495, int_bin: 0
Pedestrian ID: 3_5_389, Critical Frame: 2500, int_bin: 1
Pedestrian ID: 3_5_390, Critical Frame: 2500, int_bin: 1
Pedestrian ID: 3_5_391, Critical Frame: 2600, int_bin: 1
Pedestrian ID: 3_5_393, Critical Frame: 2749, int_bin: 1
Pedestrian ID: 3_5_394, Critical Frame: 2659, int_bin: 0
Pedestrian ID: 3_5_395, Critical Frame: 2747, int_bin: 0
Pedestrian ID: 3_5_396, Critical Frame: 3142, int_bin: 1
Pedestrian ID: 3_5_397, Critical Frame: 3141, int_bin: 1
Pedestrian ID: 3_5_398, Critical Frame: 2998, int_bin: 1
Pedestrian ID: 3_5_399, Critical Frame: 3243, int_bin: 1
Pedestrian ID: 3_5_400, Critical Frame: 3981, int_bin: 1
Pedestrian ID: 3_5_401, Critical Frame: 5884, int_bin: 0
Pedestrian ID: 3_5_402, Critical Frame: 5881, int_bin: 0
Pedestrian ID: 3_5_403, Critical Frame: 6395, int_bin: 0
Pedestrian ID: 3_5_404, Critical Frame: 7124, int_bin: 1
Pedestrian ID: 3_5_405, Critical Frame: 8791, int_bin: 1
Pedestrian ID: 3_5_406, Critical Frame: 9304, int_bin: 0
Pedestrian ID: 3_5_407, Critical Frame: 9936, int_bin: 1
Pedestrian ID: 3_5_408, Critical Frame: 9209, int_bin: 1
Pedestrian ID: 3_5_409, Critical Frame: 9942, int_bin: 1
Pedestrian ID: 3_5_412, Critical Frame: 10350, int_bin: 1
Pedestrian ID: 3_5_413, Critical Frame: 10875, int_bin: 1
Pedestrian ID: 3_5_414, Critical Frame: 11486, int_bin: 1
Pedestrian ID: 3_5_415, Critical Frame: 11623, int_bin: 0
Pedestrian ID: 3_5_416, Critical Frame: 11664, int_bin: 1
Pedestrian ID: 3_5_417, Critical Frame: 11665, int_bin: 1
Pedestrian ID: 3_5_418, Critical Frame: 11846, int_bin: 0
Pedestrian ID: 3_5_419, Critical Frame: 13197, int_bin: 1
Pedestrian ID: 3_5_420, Critical Frame: 13195, int_bin: 1
Pedestrian ID: 3_5_421, Critical Frame: 15390, int_bin: 0
Pedestrian ID: 3_5_422, Critical Frame: 16516, int_bin: 1
Pedestrian ID: 3_5_423, Critical Frame: 17454, int_bin: 1
Pedestrian ID: 3_5_424, Critical Frame: 17454, int_bin: 1
Pedestrian ID: 3_5_426, Critical Frame: 17902, int_bin: 1
Pedestrian ID: 3_5_427, Critical Frame: 17908, int_bin: 1
Pedestrian ID: 3_5_428, Critical Frame: 17970, int_bin: 0
Pedestrian ID: 3_6_429, Critical Frame: 1998, int_bin: 1
Pedestrian ID: 3_6_430, Critical Frame: 1998, int_bin: 1
Pedestrian ID: 3_6_431, Critical Frame: 2043, int_bin: 1
Pedestrian ID: 3_6_432, Critical Frame: 2052, int_bin: 1
Pedestrian ID: 3_6_433, Critical Frame: 6817, int_bin: 1
Pedestrian ID: 3_6_434, Critical Frame: 6838, int_bin: 1
Pedestrian ID: 3_6_435, Critical Frame: 6821, int_bin: 1
Pedestrian ID: 3_6_437, Critical Frame: 6830, int_bin: 1
Pedestrian ID: 3_6_438, Critical Frame: 7074, int_bin: 1
Pedestrian ID: 3_6_439, Critical Frame: 7106, int_bin: 1
Pedestrian ID: 3_6_440, Critical Frame: 7155, int_bin: 1
Pedestrian ID: 3_6_441, Critical Frame: 7599, int_bin: 1
Pedestrian ID: 3_6_442, Critical Frame: 8555, int_bin: 1
Pedestrian ID: 3_6_443, Critical Frame: 6833, int_bin: 1
Pedestrian ID: 3_6_444, Critical Frame: 8623, int_bin: 0
Pedestrian ID: 3_6_445, Critical Frame: 8650, int_bin: 1
Pedestrian ID: 3_6_446, Critical Frame: 8634, int_bin: 0
Pedestrian ID: 3_6_447, Critical Frame: 8636, int_bin: 1
Pedestrian ID: 3_6_449, Critical Frame: 9324, int_bin: 1
Pedestrian ID: 3_6_450, Critical Frame: 9319, int_bin: 1
Pedestrian ID: 3_6_451, Critical Frame: 9331, int_bin: 1
Pedestrian ID: 3_6_452, Critical Frame: 9331, int_bin: 1
Pedestrian ID: 3_6_453, Critical Frame: 9783, int_bin: 1
Pedestrian ID: 3_6_454, Critical Frame: 9795, int_bin: 1
Pedestrian ID: 3_6_455, Critical Frame: 11589, int_bin: 1
Pedestrian ID: 3_6_456, Critical Frame: 11582, int_bin: 1
Pedestrian ID: 3_6_457, Critical Frame: 11590, int_bin: 1
Pedestrian ID: 3_6_458, Critical Frame: 11595, int_bin: 1
Pedestrian ID: 3_6_460, Critical Frame: 12369, int_bin: 1
Pedestrian ID: 3_6_461, Critical Frame: 16505, int_bin: 1
Pedestrian ID: 3_6_462, Critical Frame: 16508, int_bin: 1
Pedestrian ID: 3_6_463, Critical Frame: 16506, int_bin: 1
Pedestrian ID: 3_6_464, Critical Frame: 16502, int_bin: 1
Pedestrian ID: 3_6_465, Critical Frame: 16506, int_bin: 1
Pedestrian ID: 3_6_466, Critical Frame: 16510, int_bin: 1
Pedestrian ID: 3_6_470, Critical Frame: 16701, int_bin: 1
Pedestrian ID: 3_6_471, Critical Frame: 16705, int_bin: 1
Pedestrian ID: 3_6_472, Critical Frame: 16707, int_bin: 1
Pedestrian ID: 3_6_473, Critical Frame: 16709, int_bin: 1
Pedestrian ID: 3_6_474, Critical Frame: 16703, int_bin: 1
Pedestrian ID: 3_6_475, Critical Frame: 16709, int_bin: 1
Pedestrian ID: 3_6_476, Critical Frame: 16713, int_bin: 1
Pedestrian ID: 3_6_477, Critical Frame: 17537, int_bin: 1
Pedestrian ID: 3_7_478, Critical Frame: 3282, int_bin: 1
Pedestrian ID: 3_7_479, Critical Frame: 4740, int_bin: 1
Pedestrian ID: 3_7_480, Critical Frame: 4731, int_bin: 1
Pedestrian ID: 3_7_481, Critical Frame: 4832, int_bin: 1
Pedestrian ID: 3_7_483, Critical Frame: 4856, int_bin: 1
Pedestrian ID: 3_7_484, Critical Frame: 4859, int_bin: 0
Pedestrian ID: 3_7_485, Critical Frame: 4862, int_bin: 1
Pedestrian ID: 3_7_487, Critical Frame: 5235, int_bin: 0
Pedestrian ID: 3_7_488, Critical Frame: 5439, int_bin: 0
Pedestrian ID: 3_7_489, Critical Frame: 5492, int_bin: 1
Pedestrian ID: 3_7_491, Critical Frame: 7253, int_bin: 1
Pedestrian ID: 3_7_492, Critical Frame: 7247, int_bin: 1
Pedestrian ID: 3_7_493, Critical Frame: 7250, int_bin: 1
Pedestrian ID: 3_7_494, Critical Frame: 7257, int_bin: 1
Pedestrian ID: 3_7_495, Critical Frame: 7257, int_bin: 1
Pedestrian ID: 3_7_496, Critical Frame: 7288, int_bin: 1
Pedestrian ID: 3_7_497, Critical Frame: 7297, int_bin: 1
Pedestrian ID: 3_7_498, Critical Frame: 8065, int_bin: 0
Pedestrian ID: 3_7_499, Critical Frame: 8471, int_bin: 1
Pedestrian ID: 3_7_500, Critical Frame: 9338, int_bin: 0
Pedestrian ID: 3_7_501, Critical Frame: 11169, int_bin: 1
Pedestrian ID: 3_7_502, Critical Frame: 11158, int_bin: 1
Pedestrian ID: 3_7_503, Critical Frame: 11169, int_bin: 1
Pedestrian ID: 3_7_504, Critical Frame: 11149, int_bin: 1
Pedestrian ID: 3_7_505, Critical Frame: 11244, int_bin: 1
Pedestrian ID: 3_7_506, Critical Frame: 11678, int_bin: 1
Pedestrian ID: 3_7_507, Critical Frame: 11838, int_bin: 1
Pedestrian ID: 3_7_508, Critical Frame: 11931, int_bin: 1
Pedestrian ID: 3_7_509, Critical Frame: 12454, int_bin: 1
Pedestrian ID: 3_7_510, Critical Frame: 12454, int_bin: 0
Pedestrian ID: 3_7_511, Critical Frame: 12484, int_bin: 0
Pedestrian ID: 3_7_512, Critical Frame: 13444, int_bin: 0
Pedestrian ID: 3_7_513, Critical Frame: 13805, int_bin: 1
Pedestrian ID: 3_7_515, Critical Frame: 14628, int_bin: 0
Pedestrian ID: 3_7_516, Critical Frame: 14625, int_bin: 0
Pedestrian ID: 3_7_517, Critical Frame: 15193, int_bin: 0
Pedestrian ID: 3_7_518, Critical Frame: 15176, int_bin: 1
Pedestrian ID: 3_7_519, Critical Frame: 15606, int_bin: 1
Pedestrian ID: 3_7_520, Critical Frame: 15776, int_bin: 1
Pedestrian ID: 3_7_521, Critical Frame: 15776, int_bin: 1
Pedestrian ID: 3_7_522, Critical Frame: 15844, int_bin: 0
Pedestrian ID: 3_7_523, Critical Frame: 16565, int_bin: 1
Pedestrian ID: 3_7_524, Critical Frame: 16592, int_bin: 0
Pedestrian ID: 3_7_525, Critical Frame: 16677, int_bin: 0
Pedestrian ID: 3_8_526, Critical Frame: 772, int_bin: 0
Pedestrian ID: 3_8_527, Critical Frame: 2152, int_bin: 1
Pedestrian ID: 3_8_528, Critical Frame: 5808, int_bin: 1
Pedestrian ID: 3_8_529, Critical Frame: 5803, int_bin: 1
Pedestrian ID: 3_8_530, Critical Frame: 5813, int_bin: 1
Pedestrian ID: 3_8_531, Critical Frame: 5790, int_bin: 0
Pedestrian ID: 3_8_532, Critical Frame: 5830, int_bin: 1
Pedestrian ID: 3_8_533, Critical Frame: 6706, int_bin: 1
Pedestrian ID: 3_8_534, Critical Frame: 6971, int_bin: 1
Pedestrian ID: 3_8_535, Critical Frame: 7558, int_bin: 1
Pedestrian ID: 3_8_536, Critical Frame: 7896, int_bin: 1
Pedestrian ID: 3_8_537, Critical Frame: 8334, int_bin: 1
Pedestrian ID: 3_8_538, Critical Frame: 8340, int_bin: 1
Pedestrian ID: 3_8_539, Critical Frame: 8614, int_bin: 0
Pedestrian ID: 3_8_540, Critical Frame: 10187, int_bin: 1
Pedestrian ID: 3_8_541, Critical Frame: 10187, int_bin: 1
Pedestrian ID: 3_8_542, Critical Frame: 10187, int_bin: 1
Pedestrian ID: 3_8_543, Critical Frame: 11183, int_bin: 0
Pedestrian ID: 3_8_544, Critical Frame: 11295, int_bin: 0
Pedestrian ID: 3_8_545, Critical Frame: 12847, int_bin: 0
Pedestrian ID: 3_8_546, Critical Frame: 12855, int_bin: 1
Pedestrian ID: 3_8_547, Critical Frame: 12851, int_bin: 1
Pedestrian ID: 3_8_548, Critical Frame: 12851, int_bin: 1
Pedestrian ID: 3_8_549, Critical Frame: 12860, int_bin: 1
Pedestrian ID: 3_8_550, Critical Frame: 13040, int_bin: 1
Pedestrian ID: 3_8_551, Critical Frame: 13588, int_bin: 1
Pedestrian ID: 3_8_552, Critical Frame: 13729, int_bin: 1
Pedestrian ID: 3_8_553, Critical Frame: 14952, int_bin: 1
Pedestrian ID: 3_8_554, Critical Frame: 15143, int_bin: 1
Pedestrian ID: 3_8_555, Critical Frame: 15149, int_bin: 1
Pedestrian ID: 3_8_556, Critical Frame: 15553, int_bin: 0
Pedestrian ID: 3_8_557, Critical Frame: 16121, int_bin: 1
Pedestrian ID: 3_8_558, Critical Frame: 16210, int_bin: 1
Pedestrian ID: 3_8_559, Critical Frame: 16242, int_bin: 1
Pedestrian ID: 3_8_560, Critical Frame: 16930, int_bin: 1
Pedestrian ID: 3_8_561, Critical Frame: 17082, int_bin: 1
Pedestrian ID: 3_8_562, Critical Frame: 17083, int_bin: 1
Pedestrian ID: 3_9_563, Critical Frame: 747, int_bin: 1
Pedestrian ID: 3_9_564, Critical Frame: 747, int_bin: 1
Pedestrian ID: 3_9_565, Critical Frame: 778, int_bin: 1
Pedestrian ID: 3_9_566, Critical Frame: 789, int_bin: 1
Pedestrian ID: 3_9_568, Critical Frame: 791, int_bin: 1
Pedestrian ID: 3_9_570, Critical Frame: 777, int_bin: 1
Pedestrian ID: 3_9_571, Critical Frame: 765, int_bin: 1
Pedestrian ID: 3_9_572, Critical Frame: 776, int_bin: 1
Pedestrian ID: 3_9_575, Critical Frame: 870, int_bin: 1
Pedestrian ID: 3_9_576, Critical Frame: 865, int_bin: 1
Pedestrian ID: 3_9_577, Critical Frame: 873, int_bin: 1
Pedestrian ID: 3_9_578, Critical Frame: 871, int_bin: 1
Pedestrian ID: 3_9_579, Critical Frame: 888, int_bin: 1
Pedestrian ID: 3_9_580, Critical Frame: 888, int_bin: 1
Pedestrian ID: 3_9_581, Critical Frame: 889, int_bin: 1
Pedestrian ID: 3_9_582, Critical Frame: 896, int_bin: 1
Pedestrian ID: 3_9_583, Critical Frame: 872, int_bin: 1
Pedestrian ID: 3_9_584, Critical Frame: 1611, int_bin: 1
Pedestrian ID: 3_9_585, Critical Frame: 1689, int_bin: 0
Pedestrian ID: 3_9_586, Critical Frame: 1689, int_bin: 0
Pedestrian ID: 3_9_587, Critical Frame: 2543, int_bin: 1
Pedestrian ID: 3_9_588, Critical Frame: 2630, int_bin: 1
Pedestrian ID: 3_9_589, Critical Frame: 3315, int_bin: 1
Pedestrian ID: 3_9_590, Critical Frame: 3325, int_bin: 1
Pedestrian ID: 3_9_591, Critical Frame: 3315, int_bin: 1
Pedestrian ID: 3_9_592, Critical Frame: 3052, int_bin: 1
Pedestrian ID: 3_9_593, Critical Frame: 3365, int_bin: 1
Pedestrian ID: 3_9_594, Critical Frame: 3339, int_bin: 1
Pedestrian ID: 3_9_595, Critical Frame: 3462, int_bin: 1
Pedestrian ID: 3_9_597, Critical Frame: 3458, int_bin: 1
Pedestrian ID: 3_9_598, Critical Frame: 3462, int_bin: 1
Pedestrian ID: 3_9_599, Critical Frame: 3459, int_bin: 1
Pedestrian ID: 3_9_600, Critical Frame: 3457, int_bin: 1
Pedestrian ID: 3_9_601, Critical Frame: 3804, int_bin: 0
Pedestrian ID: 3_9_602, Critical Frame: 4312, int_bin: 0
Pedestrian ID: 3_9_604, Critical Frame: 5076, int_bin: 0
Pedestrian ID: 3_9_605, Critical Frame: 10551, int_bin: 0
Pedestrian ID: 3_9_606, Critical Frame: 10541, int_bin: 1
Pedestrian ID: 3_9_607, Critical Frame: 10529, int_bin: 1
Pedestrian ID: 3_9_608, Critical Frame: 10528, int_bin: 1
Pedestrian ID: 3_9_609, Critical Frame: 10511, int_bin: 1
Pedestrian ID: 3_9_610, Critical Frame: 10511, int_bin: 1
Pedestrian ID: 3_9_611, Critical Frame: 10529, int_bin: 1
Pedestrian ID: 3_9_615, Critical Frame: 10991, int_bin: 0
Pedestrian ID: 3_9_616, Critical Frame: 11129, int_bin: 1
Pedestrian ID: 3_9_617, Critical Frame: 11171, int_bin: 1
Pedestrian ID: 3_9_618, Critical Frame: 12680, int_bin: 1
Pedestrian ID: 3_9_619, Critical Frame: 13539, int_bin: 1
Pedestrian ID: 3_9_620, Critical Frame: 14000, int_bin: 1
Pedestrian ID: 3_9_621, Critical Frame: 14000, int_bin: 1
Pedestrian ID: 3_9_622, Critical Frame: 14023, int_bin: 1
Pedestrian ID: 3_9_623, Critical Frame: 14233, int_bin: 1
Pedestrian ID: 3_9_624, Critical Frame: 15345, int_bin: 1
Pedestrian ID: 3_9_625, Critical Frame: 15378, int_bin: 1
Pedestrian ID: 3_9_626, Critical Frame: 15840, int_bin: 1
Pedestrian ID: 3_9_627, Critical Frame: 15840, int_bin: 1
Pedestrian ID: 3_9_628, Critical Frame: 15840, int_bin: 1
Pedestrian ID: 3_9_629, Critical Frame: 742, int_bin: 1
Pedestrian ID: 3_10_630, Critical Frame: 840, int_bin: 1
Pedestrian ID: 3_10_631, Critical Frame: 840, int_bin: 1
Pedestrian ID: 3_10_632, Critical Frame: 840, int_bin: 1
Pedestrian ID: 3_10_633, Critical Frame: 1630, int_bin: 1
Pedestrian ID: 3_10_634, Critical Frame: 2161, int_bin: 1
Pedestrian ID: 3_10_635, Critical Frame: 2091, int_bin: 1
Pedestrian ID: 3_10_636, Critical Frame: 1573, int_bin: 1
Pedestrian ID: 3_10_637, Critical Frame: 3348, int_bin: 1
Pedestrian ID: 3_10_638, Critical Frame: 3348, int_bin: 1
Pedestrian ID: 3_10_639, Critical Frame: 3679, int_bin: 1
Pedestrian ID: 3_10_640, Critical Frame: 3682, int_bin: 1
Pedestrian ID: 3_10_641, Critical Frame: 3707, int_bin: 1
Pedestrian ID: 3_10_642, Critical Frame: 3710, int_bin: 1
Pedestrian ID: 3_10_643, Critical Frame: 3762, int_bin: 1
Pedestrian ID: 3_10_644, Critical Frame: 3764, int_bin: 1
Pedestrian ID: 3_10_645, Critical Frame: 3764, int_bin: 1
Pedestrian ID: 3_10_646, Critical Frame: 3764, int_bin: 1
Pedestrian ID: 3_10_647, Critical Frame: 3764, int_bin: 1
Pedestrian ID: 3_10_648, Critical Frame: 3794, int_bin: 0
Pedestrian ID: 3_10_649, Critical Frame: 3950, int_bin: 0
Pedestrian ID: 3_10_650, Critical Frame: 4092, int_bin: 0
Pedestrian ID: 3_10_651, Critical Frame: 4254, int_bin: 0
Pedestrian ID: 3_10_652, Critical Frame: 6216, int_bin: 1
Pedestrian ID: 3_10_653, Critical Frame: 6598, int_bin: 1
Pedestrian ID: 3_10_654, Critical Frame: 6598, int_bin: 1
Pedestrian ID: 3_10_655, Critical Frame: 6598, int_bin: 1
Pedestrian ID: 3_10_656, Critical Frame: 6573, int_bin: 1
Pedestrian ID: 3_10_657, Critical Frame: 8251, int_bin: 0
Pedestrian ID: 3_10_658, Critical Frame: 8296, int_bin: 0
Pedestrian ID: 3_10_659, Critical Frame: 8634, int_bin: 0
Pedestrian ID: 3_10_660, Critical Frame: 14568, int_bin: 1
Pedestrian ID: 3_10_661, Critical Frame: 15459, int_bin: 1
Pedestrian ID: 3_10_662, Critical Frame: 15459, int_bin: 1
Pedestrian ID: 3_10_663, Critical Frame: 15459, int_bin: 1
Pedestrian ID: 3_10_664, Critical Frame: 15976, int_bin: 1
Pedestrian ID: 3_10_665, Critical Frame: 15980, int_bin: 1
Pedestrian ID: 3_10_666, Critical Frame: 16015, int_bin: 1
Pedestrian ID: 3_10_667, Critical Frame: 16015, int_bin: 1
Pedestrian ID: 3_10_668, Critical Frame: 17998, int_bin: 0
Pedestrian ID: 3_10_669, Critical Frame: 6508, int_bin: 1
Pedestrian ID: 3_10_670, Critical Frame: 12157, int_bin: 1
Pedestrian ID: 3_10_671, Critical Frame: 13552, int_bin: 1
